Kode / Model,Input Size,Batch,Epoch Terbaik,mAP @0.5 (Val),mAP @0.5:0.95,Precision,Recall
yolo11l-pose-default,960,8,99,0.76125,0.44199,0.86963,0.68968
yolo11m-pose-custom,768,4,97,0.72517,0.41765,0.86208,0.64462
yolo11m-pose-custom-repeat,768,4,55,0.72068,0.41241,0.87041,0.63822
yolo11m-pose-default,960,8,100,0.75713,0.43689,0.86925,0.69089
yolo11n-pose-custom,768,8,93,0.73196,0.41887,0.86306,0.65965
yolo11n-pose-custom-repeat,960,4,99,0.73341,0.42380,0.87306,0.65335
yolo11n-pose-default,1024,16,97,0.72284,0.41090,0.86288,0.64507
yolo11s-pose-custom,960,4,92,0.72729,0.41810,0.87933,0.64085
yolo11s-pose-custom-repeat,960,4,96,0.73074,0.42027,0.86909,0.64882
yolo11s-pose-default,1024,16,98,0.75372,0.43568,0.86583,0.68488
